ETABLISSEMENT;VILLE;UAI;COMPO;COM_CODE
IAE GRENOBLE - DUBLIN INSTITUTE OF TECHNOLOGY;DUBLIN;0383493R;0383336V;38185
Université du Littoral et de la côte d'Opale;Dunkerque;0595964M;0595964M;59183
Université de Littoral Côte d’Opale;Dunkerque;0595964M;0595964M;59183
Ulco Dunkerque ;Dunkerque;0595964M;0595964M;59183
UNIVERSITE DU LITTORAL (ULCO);DUNKERQUE;0595964M;0595964M;59183
Université du Littoral Côte d'Opale;Dunkerque;0595964M;0595964M;59183
ULCO ;Dunkerque - Calais ;0595964M;0595964M;59183
Ecole Centrale de Lyon et EMLYON Business School;Ecully;0690187D;0690187D;69081
Ecole Centrale de Lyon;Ecully;0690187D;0690187D;69081
EMLYON Business School;Ecully;0690197P;0690197P;69081
CESI ;Ecully;0755372G;0691696U;69081
ITECH;Ecully ;0693364G;0693364G;69081
Ecole Centrale Lyon;Ecully;0690187D;0690187D;69081
EMLYON Business School - ECOLE CENTRALE LYON;ECULLY - LYON;0690187D;0690187D;69081
École Nationale Supérieure des Technologies et Industries du Bois (ENSTIB);Epinal;0542493S;0881586W;88160
IUT EPINAL;EPINAL;0542493S;0881705A;88160
ENSTIB - Université de Lorraine;Epinal;0542493S;0881586W;88160
IUT Hubert Curien Epinal;EPINAL;0542493S;0881705A;88160
IUT Hubert CURIEN;EPINAL;0542493S;0881705A;88160
Lycée Claude Gellée;Epinal;0880020U;0880020U;88160
ENSTIB : École Nationale Supérieure des Technologies et Industries du Bois;Epinal;0542493S;0881586W;88160
ENSTIB;EPINAL;0542493S;0881586W;88160
École Nationale Supérieure des Technologies et Ingénieries du Bois;EPINAL;0542493S;0881586W;88160
Université d'Etat d'Erevan N/A Mashtoc;Erevan, Arménie;ETRANGERPU;ETRANGERPU;Erevan
IUT Evry Val d'Essonne;Evry;0911975C;0911990U;91228
Université d'Evry;Evry;0911975C;0911975C;91228
Université d'Evry Val d'Essone;Evry;0911975C;0911975C;91228
IUT d'Evry val d'Essonne;Evry;0911975C;0911990U;91228
Télécom Ecole de Management;Evry;0912255G;0912255G;91228
Mines-Telecom : Telecom Ecole de Management;EVRY;0912255G;0912255G;91228
Télécom école de management;Evry;0912255G;0912255G;91228
université d'Evry Val d'Essonne;Evry Courcouronnes;0911975C;0911975C;91228
IUT Evry Val d'Essonne;Evry sur Seine;0911975C;0911990U;91228
Staps Font-Romeu;Font-Romeu;0660437S;0660832W;66124
LYCEE BLAISE PASCAL;FORBACH;0570030Y;0570030Y;57227
CFA BLAISE PASCAL;FORBACH;0570030Y;0570030Y;57227
université des antilles ;fort de france;9710585J;9710585J;97209
amep redoute;fort de france;9720615L;9720615L;97209
CNAM Martinique/ CFA CCI Martinique ;Fort-de-France ;;;97209
Lycée Victor SCHOELCHER;FORT-DE-FRANCE;9720002V;9720002V;97209
UNIVERSITE ORLEANS;FRANCE;0450855K;0450855K;45234
BPCESC ;Freyming Merlebach;;;57240
Ecole des Mines de Saint Etienne;Gardanne;0420094Z;0133347T;13041
École des Mines de Saint-Étienne;Gardanne;0420094Z;0133347T;13041
Ecole Nationale Supérieure des Mines de Saint-Etienne;Gardanne;0420094Z;0133347T;13041
The Glasgow School of Art;Glasgow (UK);ETRANGERPU;ETRANGERPU;Glasgow
IUT de Bordeaux;Gradignan;0333298F;0331494V;33192
IUT Bordeaux 1;Gradignan;0333298F;0331494V;33192
ENSE3 Grenoble Inp;Grenoble;0381912X;0383396K;38185
Ense3-Grenoble Inp;Grenoble;0381912X;0383396K;38185
IAE-UPMF;Grenoble;0381839T;0383336V;38185
Idrac Grenoble;Grenoble;0693180G;0383384X;38185
Grenoble École de Management;Grenoble;0382778N;0382778N;38185
ESPE de Grenoble;Grenoble;0383473U;0383473U;38185
Grenoble INP Phelma/Ensimag;Grenoble;0381912X;0383395J;38185
Phelma Grenoble INP;Grenoble;0381912X;0383395J;38185
Université Joseph Fourrier;Grenoble;0381838S;0381838S;38185
GGSB;Grenoble;0382778N;0382778N;38185
Grenoble INP-ENSE3;Grenoble;0381912X;0383396K;38185
Université de Grenoble 1 Joseph Fourier (UJF);Grenoble;0381838S;0381838S;38185
Université de Grenoble;Grenoble;0383412C;0383412C;38185
Grenoble INP Phelma;Grenoble;0381912X;0383395J;38185
UJF Grenoble;Grenoble;0381838S;0381838S;38185
UJF;grenoble;0381838S;0381838S;38185
Science-Po Grenoble;Grenoble;0380134P;0380134P;38185
ISTERRE Grenoble;Grenoble;0383412C;;38179
Institut de communication et des médias (ICM - Stendhal Grenoble);Grenoble;0381840U;0381840U;38185
Université Pierre Mendès France;Grenoble;0381839T;0381839T;38185
Institut d'Administration des Entreprises;GRENOBLE;0381839T;0383336V;38185
INPG Génie Industriel;GRENOBLE;0381912X;0381912X;38185
Université de Stendhal Grenoble;Grenoble;0381840U;0381840U;38185
IEP de Grenoble;Grenoble;0380134P;0380134P;38185
IUT 2 Grenoble;Grenoble;0381839T;0381775Y;38185
Grenoble INP - Phelma;GRENOBLE;0381912X;0383395J;38185
Grenoble INP (PHELMA - ENSIMAG);Grenoble;0381912X;0383395J;38185
Grenoble INP;Grenoble;0381912X;0381912X;38185
Grenoble INP - Génie Industriel;Grenoble;0381912X;0383398M;38185
IAE Grenoble;GRENOBLE;0381839T;0383336V;38185
IAE de GRENOBLE;GRENOBLE;0381839T;0383336V;38185
IAE;Grenoble;0381839T;0383336V;38185
Grenoble-INP Phelma;Grenoble;0381912X;0383395J;38185
Grenoble-inp ENSE3;Grenoble;0381912X;0383396K;38185
ENSE3;Grenoble;0381912X;0383396K;38185
École nationale supérieure d'informatique et de mathématiques appliquées, Grenoble;Grenoble;0381912X;0383399N;38185
IEP GRENOBLE;GRENOBLE;0380134P;0380134P;38185
UPMF;Grenoble;0381839T;0381839T;38185
ENSIMAG Grenoble INP;Grenoble;0381912X;0383399N;38421
Ecole Nationale Supérieur d'Energie, Eau et Environnement;Grenoble;0381912X;0383396K;38185
Grenoble INP - Ense3;Grenoble;0381912X;0383396K;38421
Université Grenoble 1 (Joseph Fourier);Grenoble;0381838S;0381838S;38185
ENSIMAG - Grenoble INP;Grenoble;0381912X;0383399N;38421
Ensimag - GEM;Grenoble;0381912X;0383399N;38421
ENSIMAG;GRENOBLE;0381912X;0383399N;38421
Ecole Nationale Supérieure d'Architecture de Grenoble;Grenoble;0380141X;0380141X;38185
École nationale supérieure d'informatique et de mathématiques appliquées;Grenoble;0381912X;0383399N;38421
Université Stendhal Grenoble;Grenoble;0381840U;0381840U;38185
Grenoble INP Ensimag;Grenoble;0381912X;0383399N;38421
CNED;Grenoble;0861288H;;38185
Université Pierre Mendès-France;Grenoble;0381839T;0381839T;38185
Université Grenoble Alpes - Pierre Mendès France;Grenoble;0381839T;0381839T;38185
Université Pierre Mendes France (UPMF);Grenoble;0381839T;0381839T;38185
Université Joseph Fourier ;Grenoble;0381838S;0381838S;38185
Université Pierre Mendes France;Grenoble;0381839T;0381839T;38185
Ecole nationale supérieure de l'energie l'eau et l'environnement;Grenoble;0381912X;0383396K;38185
Ecole de Journalisme de Grenoble;Grenoble;0380134P;0380134P;38185
Université Pierre-Mendès-France - Grenoble;Grenoble;0381839T;0381839T;38185
UNIVERSITE  SAINT QUENTIN EN YVELYNE;GUYANCOURT;0781944P;0781944P;78297
UNIVERSITE DE SAINT QUENTIN EN YVELINE;GUYANCOURT;0781944P;0781944P;78297
Ecole supérieure de commerce extérieur - Ha Noi, Viet Nam;Ha Noi, Viet Nam;ETRANGERPU;ETRANGERPU;Hanoï
Université d'économie d'Hô-Chi-Minh-Ville;Ho Chi Minh ville - Viet Nam;ETRANGERPU;ETRANGERPU;Hô-Chi-Minh-Ville
University of huddersfield;Huddersfield;ETRANGERPU;ETRANGERPU;Huddersfield
CHUNGKANG INDUSTRIE CULTUREL UNIVERSITY;ICHEON COREE DU SUD;ETRANGERPR;ETRANGERPR;Icheon
ENSIIE;Illkirch;0912266U;0673054F;67218
IUT Robert Schuman;Illkirch;0673021V;0671557D;67218
Telecom Physique Strasbourg et CFAI Alsace;Illkirch;0673021V;0672380Y;67218
CFA Illkirch;Illkirch;0672066G;0672066G;67218
IUT Robert Schuman;Illkirch-Graffenstaden;0673021V;0671557D;67218
HITEMA;Issy les moulineaux;0922614S;0922614S;92040
HEC Paris;Jouy en Josas;0783054W;0783054W;78322
HEC Paris;Jouy-en-Josas;0783054W;0783054W;78322
SSBV ;Kaprun ;ETRANGERPR;ETRANGERPR;Kaprun
ESCK Kenitra Maroc;Kenitra;ETRANGERPR;ETRANGERPR;Kénitra
Université de Khémis Miliana;Khémis Miliana/ Algérie;ETRANGERPU;ETRANGERPU;Khemis Miliana
LYCEE JACQUES BREL;LA COURNEUVE;0931430Z;0931430Z;93027
EMLV (Ecole de management de Leonard de Vinci);La Defense;0922369A;0922369A;92026
École de Management Léonard de Vinci. Paris- La Défense ;La Défense - Paris;0922369A;0922369A;92026
Université de Toulon;La Garde;0830766G;0830766G;83062
IUT La Roche Sur Yon;La Roche Sur Yon;0440984F;0851457X;85191
Icam Vendée;La Roche sur Yon;0755373H;0851594W;85191
Lycée Jean Dautet;La Rochelle;0170028N;0170028N;17300
Université de la Rochelle;La Rochelle;0171463Y;0171463Y;17300
UFR La Rochelle;La Rochelle;0171463Y;0171463Y;17300
IAE La Rochelle;La Rochelle;0171463Y;;17300
Institut d'Administration des Entreprises La Rochelle;La Rochelle;0171463Y;;17300
IAE LA ROCHELLE - Université de LA ROCHELLE;LA ROCHELLE;0171463Y;;17300
IAE - Université de La Rochelle;La Rochelle;0171463Y;;17300
Université La Rochelle;La Rochelle;0171463Y;0171463Y;17300
Ecole d'Ingénieur en Génie des Systèmes Industriels;La Rochelle;0171435T;0171435T;17300
Faculté des Lettres Langues Arts et Sciences Humaines (FLLASH);La Rochelle;0171463Y;0171469E;17300
UNNIVERSITE DE LA ROCHELLE;LA ROCHELLE;0171463Y;0171463Y;17300
EIGSI LA ROCHELLE & Groupe Sup de Co LA ROCHELLE;La Rochelle;0171435T;0171435T;17300
Groupe Sup De Co La Rochelle;La Rochelle;0171427J;0171427J;17300
Faculté lettre langues arts et sciences humaines;La Rochelle;0171463Y;0171469E;17300
ESC La Rochelle;La Rochelle;0171427J;0171427J;17300
Ecole Supérieure de Commerce de La Rochelle ( ESC La Rochelle);La Rochelle;0171427J;0171427J;17300
Flash;La Rochelle;0171463Y;0171469E;17300
Flash - Université de La Rochelle;La Rochelle;0171463Y;0171469E;17300
Itec boisfleury ;La tronche;0383208F;0383208F;38516
IUT de Lannion;Lannion;0350936C;0221036G;22113
Lycée Félix Le Dantec;Lannion;0220023F;0220023F;22113
ESTACA Campus Ouest, Laval;Laval;0921929X;0530997W;53130
Université de Savoie;Le Bourget du Lac;0730858L;0730858L;73051
université de savoie - Savoie Technolac;Le Bourget du Lac;0730858L;0730858L;73051
IUT de Chambéry;Le Bourget du Lac;0730858L;0731487V;73051
Université Savoie Mont-Blanc;Le bourget du lac;0730858L;0730858L;73051
IUT de Chambéry;Le Bourget-du-Lac;0730858L;0731487V;73051
Université Américaine du Caire;Le Caire;ETRANGERPR;ETRANGERPR;Le Caire
IFSI de la CCM;Le Creusot;0711809F;0711809F;71153
IUT Le Creusot;Le Creusot;0211237F;0711372F;71153
Université du Havre;LE HAVRE;0762762P;0762762P;76351
UNIVERSITE DU HAVRE;LE HAVRE;0762762P;0762762P;76351
Ecole Management de Normandie;LE HAVRE;0760168V;0760168V;76351
ECOLE DE MANAGEMENT DE NORMANDIE ;LE HAVRE;0760168V;0760168V;76351
Université du  Mans ;Le Mans ;0720916E;0720916E;72181
Universite du Maine;Le Mans;0720916E;0720916E;72181
Université du Maine;Le Mans;0720916E;0720916E;72181
ISMANS;LE MANS;0721484X;0721484X;72181
CFAI Rouen Dieppe;Le Mesnil-Esnard ;0763150L;0763150L;76429
IUT du Puy en Velay;Le Puy en Velay;0631262E;0430951A;43157
IUT du Puy en Velay (Université d'Auvergne);Le Puy en Velay;0631262E;0430951A;43157
IUT Lyon 1 - NHL NHL hogeschool Leeuwarden;Leeuwarden (Pays-Bas);0691774D;0694121E;69266
VetAgro Sup;Lempdes;0690193K;0631786Z;63193
Centrale Lille / IG2I;Lens;0590349J;0623960T;62498
IUT de Lens;Lens;0623957P;0623985V;62498
Faculté Jean Perrin;Lens;0623957P;0623911P;62498
ESPE de la Guadeloupe;Les Abymes;9711244A;9711244A;97120
Conservatoire National des Arts-et-Métiers;Lille;0753471R;0592758C;59350
SCABE GROUP;LILLE;;;59368
Ecole Centrale de Lille;Lille;0590349J;0590349J;59350
UNIVERSITE LILLE 1;LILLE;0593559Y;0593559Y;59350
Ecole Nationale Supérieur de Chimie de Lille (ENSCL);Lille;0590311T;0590311T;59009
ESUPCOM;Lille;0133764W;;59350
Université Lille II Droit et Santé;Lille;0593560Z;0593560Z;59350
Université de Lille 3;Lille;0593561A;0593561A;59009
IAE ;Lille ;0593559Y;0590327K;59350
Faculté des sciences pharmaceutiques et biologiques;Lille;0593560Z;0593587D;59350
ISEG ;Lille;0752972Y;;59009
ICL - Institut Catholique de Lille;Lille;0590344D;0590344D;59350
Telecom Lille;Lille;0593559Y;0595868H;59009
EDHEC Business School;Lille;0590350K;0590350K;59512
Lycée Gaston Berger;Lille;0590258K;0590258K;59350
EPITECH;Lille;0942129D;0596851B;59350
Université Catholique de Lille;Lille;0590344D;0590344D;59350
Centrale Lille;Lille;0590349J;0590349J;59350
IAE LILLE UNIVERSITE LILLE 1;LILLE;0593559Y;0590327K;59350
Université de Lille 1 - Sciences et technologies;Lille;0593559Y;0593559Y;59350
IAE Lille;Lille;0593559Y;0590327K;59350
Université des Sciences et Technologies de Lille 1;Lille;0593559Y;0593559Y;59350
LILLE 1 IAE, Master 2;Lille;0593559Y;0590327K;59350
Lille 1 (ENSAIT);Lille;0590338X;0590338X;59512
Faculté des sciences et technologies des activités physiques et sportives de Lille 2 ;Lille;0593560Z;0590314W;59350
Université de Lille1 sciences et Technologie;Lille;0593559Y;0593559Y;59350
IAE de Lille;Lille;0593559Y;0590327K;59350
Université de Lille 1 Sciences et Technologie;Lille;0593559Y;0593559Y;59350
ISEN;Lille;0590347G;0590347G;59350
Université de Lille ;Lille;0596870X;0596870X;59350
SKEMA BUSINESS SCHOOL;LILLE ;0590346F;0590346F;59350
FGES;LILLE;0590344D;0592806E;59350
IAE LILLE 1;LILLE;0593559Y;0590327K;59350
EDHEC Business School / Maastricht University;Lille / Maastricht;0590350K;0590350K;59350
ENSIL;Limoges;0870669E;0871022N;87085
Faculté de Droit et des Sciences Economiques de Limoges;Limoges;0870669E;0870063W;87085
IAE de LIMOGES;LIMOGES;0870669E;0875060C;87085
Université de Limoges;limoges;0870669E;0870669E;87085
IAE - Université de Limoges;Limoges;0870669E;0875060C;87085
IAE LIMOGES;LIMOGES;0870669E;0875060C;87085
IAE LIMOGES ECOLE UNIVERSITAIRE DE MANAGEMENT;LIMOGES;0870669E;0875060C;87085
IUT Saint-omer, ULCO;Longuenesse;0595964M;0624062D;62525
Université du littoral Côte d'Opale Longuenesse;Longuenesse;0595964M;0595964M;62525
IUT du Littoral;Longuenesse;0595964M;0624062D;62525
IUT  Longuenesse - Ulco;Longuenesse;0595964M;0624062D;62525
IUT HENRI POINCARE;Longwy;0542493S;0542288U;54138
ILIS - Faculté Ingénierie et Management de la Santé;Loos;0593560Z;0595992T;59360
ILIS LILLE 2;LOOS;0593560Z;0595992T;59360
St Vincent de Paul;Loos;0595657D;0595657D;59360
Université Bretagne Sud;Lorient;0561718N;0561718N;56121
IUT de Lorient;LORIENT;0561718N;0561363C;56121
Université de Bretagne-Sud;Lorient;0561718N;0561718N;56121
IUT Lorient;Lorient;0561718N;0561363C;56121
Lycée Ernest Bichat;Lunéville;0540034U;0540034U;54329
CNED ;Lyon;0861288H;0861288H;69123
SUPINFO - International University;LYON;0754939L;0694199P;69123
WIS (Web International School);Lyon;;;69123
Ecole normale supérieure de Lyon;Lyon;0694123G;0694123G;69123
Centre International du Coach;Lyon;;;69123
Lyon 3 Jean Moulin ;Lyon;0692437Z;0692437Z;69123
CFA CIEFA LYON;Lyon;0754738T;0693270E;69123
ITECH;Lyon;0693364G;0693364G;69081
La Martinière Monplaisir;Lyon;0692866R;0692866R;69123
La Martinière Diderot;Lyon;0690037R;0690037R;69123
Université Jean Moulin-Lyon III;Lyon;0692437Z;0692437Z;69123
SUPINFO;Lyon;0754939L;0694199P;69123
Lycée Colbert;lyon;0690042W;0690042W;69123
Université Catholique de Lyon;Lyon;0690195M;0690195M;69123
Université Lyon II;Lyon;0691775E;0691775E;69123
ENS de Lyon;Lyon;0694123G;0694123G;69123
ISEG;Lyon;0752972Y;0693449Z;69123
EMLYON et CENTRALE;Lyon;0690197P;0690197P;69123
EMLyon Business School;Lyon;0690197P;0690197P;69123
Mbway (IPAC);Lyon;0061610T;;69123
EM Lyon / Centrale Lyon;Lyon;0690197P;0690197P;69123
WIS (Web Internation School);LYON;;;69123
EM Lyon;Lyon;0690197P;0690197P;69123
IAE Université Lyon 3;Lyon;0692437Z;0692203V;69123
Lyon 1;Lyon;0691774D;0691774D;69123
Lyon 3;Lyon;0692437Z;0692437Z;69123
Lyon 3 - IAE;Lyon;0692437Z;0692203V;69123
Sciences Po Lyon;Lyon;0690173N;0690173N;69123
Université Lumière Lyon 2;LYON;0691775E;0691775E;69123
Polytech'Lyon;Lyon;0691774D;0693550J;69123
EM LYON BUSINESS SCHOOL;LYON;0690197P;0690197P;69123
AFPIA;LYON;0692781Y;0692781Y;69123
Polytech Lyon;Lyon;0691774D;0693550J;69123
Lyon III Jean Moulin ;Lyon;0692437Z;0692437Z;69123
Institut d'Etudes Politiques Lyon/ Ecole Normale Supérieure Lyon ;Lyon;0690173N;0690173N;69123
Lyon III;Lyon;0692437Z;0692437Z;69123
ECE (Groupe INSEEC);Lyon;0754500J;0693448Y;69123
IAE - Université Jean Moulin Lyon 3;LYON;0692437Z;0692203V;69123
Ecole Centrale de Lyon;Lyon;0690187D;0690187D;69081
ESAM Lyon - Groupe IGS;Lyon;0754738T;0693700X;69123
ESSCA, campus Ynov;Lyon;0490076S;;69123
IAE Université Jean Moulin LYON 3;LYON;0692437Z;0692203V;69123
Université Lyon 3 Jean Moulin IAE;LYON;0692437Z;0692203V;69123
IUT-Lyon1;Lyon;0691774D;0694121E;69266
Sainte-Marie;Lyon;0690521S;0690521S;69123
Ecole Normale Supérieure;Lyon;0694123G;0694123G;69123
Lyon III - Jean Moulin;Lyon;0692437Z;0692437Z;69123
Ecole Nationale Supérieur des Beaux-Arts de Lyon;Lyon;0690185B;0690185B;69123
SUPDEMOD;LYON;0690693D;0690693D;69123
Sainte-Marie Lyon;Lyon;0690521S;0690521S;69123
Université Lyon 1 Claude Bernard;Lyon;0691774D;0691774D;69123
IUT lyon 3;Lyon;0692437Z;0693565A;69266
CPE Lyon;Lyon;0693623N;0693623N;69266
IUT LYON 1;LYON;0691774D;0694121E;69266
Ecole nationale supérieur d'architecture de Lyon;Lyon;0690184A;0690184A;69123
IUT Jean Moulin 3;Lyon;0692437Z;0693565A;69123
UCBL Lyon 1;Lyon;0691774D;0691774D;69123
Ecole d'hôtellerie et de management Vatel;LYON;0693222C;0693222C;69123
Université Jean Moulin Lyon 3 (IAE Lyon) ;Lyon;0692437Z;0692203V;69123
BBA - INSEEC;LYON;0754500J;0693448Y;69123
Université LYON III, IUT Jean Moulin;LYON;0692437Z;0693565A;69123
Institut national des Sciences appliquées de Lyon;LYON;0690192J;0690192J;69123
Université Lumière Lyon II;Lyon;0691775E;0691775E;69123
Université Lyon - Faculté de Sciences politiques;Lyon;0691775E;0692452R;69123
Université Lyon 1;Lyon;0691774D;0691774D;69123
EMLYON - Centrale Lyon;Lyon;0690197P;0690197P;69123
Université Lyon 2 Lumière;Lyon;0691775E;0691775E;69123
Université LYON 3;LYON;0692437Z;0692437Z;69123
Université Lyon 3 ?;Lyon;0692437Z;0692437Z;69123
Université Jean-Moulin Lyon 3;LYON;0692437Z;0692437Z;69123
Université Claude Bernard Lyon1;Lyon;0691774D;0691774D;69123
Université Jean Moulin Lyon III;Lyon;0692437Z;0692437Z;69123
Université Claude Bernard Lyon I;Lyon;0691774D;0691774D;69123
Université Claude Bernard Lyon 1;Lyon;0691774D;0691774D;69123
Université Claude Bernard (Lyon I);Lyon;0691774D;0691774D;69123
Université Claude Bernard;Lyon;0691774D;0691774D;69123
Institut d'Étude du Travail de Lyon;Lyon;0691775E;0693284V;69123
Institut d'Etudes Politiques de Lyon;Lyon;0690173N;0690173N;69123
Institut G4;Lyon;;;69123
Institut Marc Perrot;Lyon;0694201S;0694201S;69123
Université Lyon III;Lyon;0692437Z;0692437Z;69123
Université de Lyon 3;Lyon ;0692437Z;0692437Z;69123
IAE Lyon, Université Jean Moulin Lyon 3;Lyon;0692437Z;0692203V;69123
IAE Université Jean Moulin;Lyon;0692437Z;0692203V;69123
IAE, Lyon 3;Lyon;0692437Z;0692203V;69123
IAE Lyon 3;Lyon;0692437Z;0692203V;69123
IAE Lyon - Université Jean Moulin;Lyon;0692437Z;0692203V;69123
ICOF;Lyon;0690631L;0690631L;69123
IAE Lyon;Lyon;0692437Z;0692203V;69123
IDRAC ;LYON;0693180G;0693180G;69123
Université Jean-Moulin Lyon III;Lyon;0692437Z;0692437Z;69123
IFAG;Lyon;0692955M;0692955M;69123
Université Lyon 2 Lumières;Lyon ;0691775E;0691775E;69123
Université de Lyon - ENS Lyon;Lyon;0694123G;0694123G;69123
INSA Lyon;Lyon;0690192J;0690192J;69123
INSEEC ;Lyon;0754500J;0693448Y;69123
IAE de Lyon;Lyon;0692437Z;0692203V;69123
IAE de l'Université Jean Moulin Lyon 3;Lyon;0692437Z;0692203V;69123
Université de la Mode - Lyon 2  LYON;LYON;0691775E;0691775E;69123
Université Jean Moulin;Lyon;0692437Z;0692437Z;69123
Université Jean Moulin Lyon 3;Lyon;0692437Z;0692437Z;69123
Idrac Lyon;Lyon;0693180G;0693180G;69123
ENTPE;Lyon;0692566P;0692566P;69256
ISARA-LYON;LYON;0692353H;0692353H;69123
ENSA Lyon;Lyon;0690184A;0690184A;69123
Université Lyon 2;Lyon;0691775E;0691775E;69123
EPITECH - European Institute of Technology;Lyon;0942129D;0694100G;69123
Epitech;Lyon;0942129D;0694100G;69123
ESDES;LYON;0690195M;0691503J;69123
ESCD 3A;Lyon;0693177D;0693177D;69123
UNIVERSITE LYON 3 JEAN MOULIN, IUT;LYON (69);0692437Z;0693565A;69266
Institut Marc Perrot et Coventry University;Lyon et Coventry;0694201S;0694201S;69123
Madurai Kamarajar Université;Madurai,Inde;ETRANGERPU;ETRANGERPU;Madurai
IUP-Paris, France et HCU-Hambourg, Allemagne;Marne la Vallée, France et Hambourg, Allemagne;0772710C;0772402T;77083
Univertisté Ibn Tofail de KENITRA;MAROC;ETRANGERPU;ETRANGERPU;Kénitra
Classes préparatoires Marrakech;Marrakech;ETRANGERPU;ETRANGERPU;Marrakech
Ecole nationale des sciences appliquées;Marrakech Maroc;ETRANGERPU;ETRANGERPU;Marrakech
Institut Supérieur Marseille-Cadenelle;Marseile;0132828D;0132828D;13055
IMPGT;MARSEILLE;0134009M;0133947V;13055
Polytech Marseille;Marseille;0134009M;0134014T;13055
Notre-Dame de Sion;MARSEILLE;0131341M;0131341M;13055
IMPGT Institut de Management Public et Gouvernance Territoriale;Marseille;0134009M;0133947V;13055
l'université d'Aix-Marseille;Marseille;0134009M;0134009M;13055
GRETA MEDITERRANÉE ;MARSEILLE;0130053M;0134088Y;13055
KEDGE BUSINESS SCHOOL;Marseille;0333326L;0130239P;13055
Lycée Jean Perrin;Marseille;0130053M;0130053M;13055
Lycée Thiers ;Marseille;0130040Y;0130040Y;13055
IFMK de Marseille;Marseille;0131599T;0131599T;13055
Lycée saint exupéry;Marseille;0130048G;0130048G;13055
Aix-Marseille Université;Marseille;0134009M;0134009M;13055
Institut de Management Public et de Gouvernance Territoriale  ;Marseille ;0134009M;0133947V;13055
Faculté des Sciences du Sport d'Aix-Marseille;Marseille;0134009M;0130201Y;13055
Université Aix-Marseille;Marseille;0134009M;0134009M;13055
Aix Marseille Université;Marseille;0134009M;0134009M;13055
Euromed Management;Marseille;0333326L;0133689P;13055
AIX-MARSEILLE (FSS);MARSEILLE;0134009M;0130201Y;13055
École de Journalisme et de Communication d'Aix-Marseille;Marseille;0134009M;0133309B;13055
Institut de Management Public et Gouvernance Territoriale IMPGT;Marseille;0134009M;0133947V;13055
Faculté d'économie et de gestion (Colbert) Université d'Aix-Marseille;Marseille;0134009M;0133661J;13055
Université Aix Marseille;Marseille;0134009M;0134009M;13055
Faculté des Sciences du Sport;Marseille;0134009M;0130201Y;13055
POLYTECH'MARSEILLE;MARSEILLE;0134009M;0134014T;13055
GRETA MEDITERRANEE;MARSEILLE (13);0130053M;0130053M;13055
MIT (Massachusetts Institute of Technology);Massachusetts (A distance);ETRANGERPR;ETRANGERPR;CambridgeUS
Lycée Lavoisier ;Mayenne ;0530016E;0530016E;53147
Lycée Henri Moissan;Meaux;0770930T;0770930T;77284
IUT de Marne-La-Vallée, site de Meaux;Meaux;0772502B;0772348J;77284
Université de Ferdowsi;Meched, Iran;ETRANGERPU;ETRANGERPU;Mashhad
CPGE Ibn Ghazi El Meknessi;Meknes, MAROC;ETRANGERPU;ETRANGERPU;Meknès
Lycée Jacques Amyot;Melun;0770933W;0770933W;77288
ESGC&F Bordeaux;Mérignac;0341576D;0332738X;33281
IAE ESM ;METZ;0542493S;0542482E;57463
Université de Lorraine - ESM-IAE de Metz;Metz;0542493S;0573466H;57463
Université de Lorraine ;Metz;0542493S;0542493S;57463
UNIVERSITE DE LORRAINE;METZ;0542493S;0542493S;57463
IAE ;METZ;0542493S;0542482E;57463
CNED;METZ;0861288H;0861288H;57463
ESM-IAE de Metz;METZ;0542493S;0542482E;57463
CNAM/Metz;Metz;0753471R;;57463
Lycée Louis de Cormontaigne;Metz;0573227Y;0573227Y;57463
UFR ARTS, LETTRES ET LANGUES -UNIVERSITE DE METZ;METZ;0542493S;0573561L;57463
IAE Metz;Metz;0542493S;0542482E;57463
ESM - IAE ;Metz;0542493S;0542482E;57463
UFR ESM-IAE;Metz;0542493S;0542482E;57463
IAE de Metz;Metz;0542493S;0542482E;57463
IAE ESM Metz ;Metz ;0542493S;0542482E;57463
UFR Sciences humaines et sociales (SHS), Université de Lorraine;Metz;0542493S;0573562M;57463
IUT de Metz, Université de Lorraine;METZ;0542493S;0570175F;57463
CREPS de Lorraine;METZ;0540098N;0540098N;54184
ISFATES - IAE Metz;Metz;0542493S;0542482E;57463
UFR ESM IAE METZ;METZ;0542493S;0542482E;57463
Université de Lorraine - IAE;Metz;0542493S;0542482E;57463
ESM-IAE;Metz;0542493S;0542482E;57463
Ufr Scifa Metz;METZ;0542493S;0573299B;57463
CentraleSupélec;Metz;0912341A;0573492L;57463
Ecole universitaire de management ESM-IAE Metz;Metz;0542493S;0542482E;57463
École Nationale d'Ingénieurs de Metz;Metz;0570140T;0570140T;57463
UFR ESM-IAE;METZ (57);0542493S;0542482E;57463
ISFATES / HTW des Saarlandes;Metz / Saarbrücken;0542493S;0572874P;57463
Belarusian National Technical University;Minsk;ETRANGERPU;ETRANGERPU;Minsk
I.U.T. Sénart-Fontainebleau;Moissy cramayel;0941111X;0772347H;77251
VAE;MOLSHEIM;0672615D;0672615D;67300
Institut supérieur d'informatique et de mathématique;Monastir-Tunisie;ETRANGERPU;ETRANGERPU;Monastir
Université Jean Jaurès - Département Archives et Médiathèque ;MONTAUBAN;0311383K;0311383K;82121
Université de Technologie de Belfort-Montbéliard (dpt Ergonomie, Design et Ingénierie Mécanique);Montbéliard;0900424X;0251938W;25388
