ETABLISSEMENT;VILLE;UAI;COMPO;COM_CODE
Université Savoie Mont Blanc - Institut Universitaire de Technologie d'Annecy-Le-Vieux;Annecy-Le-Vieux;0730858L;0741133E;74011
IUT Annecy-le-Vieux (74);Annecy-le-Vieux (74);0730858L;0741133E;74011
Karel De Grote Hogeschool;Anvers (Belgique);ETRANGERPR;ETRANGERPR;Anvers
Université d'Artois ;Arras;0623957P;0623957P;62041
EPSI;ARRAS;0922467G;0922467G;62041
UFR STAPS Clermont-Ferrand;AUBIERE;0631525R;0630096M;63014
IUT Université d'Auvergne (Clermont 1);Aubière (63);0631262E;0631021T;63014
Lycée des métiers du bois et de l'habitat;Aubin;0120096P;0120096P;12013
IUT DE BIOLOGIE D'AURILLAC;AURILLAC;0631262E;0150746E;15014
Ecole Nationale Supérieure Agronomique de Toulouse (E.N.S.A.T.);Auzeville-Tolosane;0311381H;0310105W;31113
Université d'Avignon et des Pays du Vaucluse;Avignon;0840685N;0840685N;84007
UAPV;Avignon;0840685N;0840685N;84007
Université d'Avignon et des Pays de Vaucluse;Avignon;0840685N;0840685N;84007
université d'Avignon;Avignon ;0840685N;0840685N;84007
Toulouse Business School;Balma;0310156B;0312012U;31044
Entiore-Programme Bachelor;Balma;0310156B;0312012U;31044
Bangkok School of Management;Bangkok;ETRANGERPR;ETRANGERPR;Bangkok
Barcelona Graduate School of Economics;Barcelona;ETRANGERPU;ETRANGERPU;Barcelone
IUP SPORT ;BAYONNE;0333298F;;64102
CF IUP de Bayonne - Université de Bordeaux;Bayonne;0333298F;;64102
CF IUP Bayonne / Université de Bordeaux;Bayonne;0333298F;;64102
Université de Bordeaux;Bayonne;0333298F;;64102
CF IUP de Bayonne;Bayonne;0333298F;;64102
CF IUP Sport ;Bayonne;0333298F;;64102
La viti;Beaune;0210036A;0210036A;21054
LASALLE BEAUVAIS;BEAUVAIS;0600071B;0600071B;60057
Institut Polytechnique LaSalle Beauvais;Beauvais 60 000;0600071B;0600071B;60057
Beijing Forest University;Beijing;ETRANGERPU;ETRANGERPU;Pékin
IUT Informatique de Belfort-Montbéliard;Belfort;0251215K;0900231M;90010
Université de Technologie de Belfort-Montbéliard (UTBM);Belfort;0900424X;0900444U;90010
ESTA;Belfort;0900362E;0900362E;90010
Ecole Supérieure des Technologies et des Affaires;Belfort;0900362E;0900362E;90010
Université de Technologie de Belfort-Montbéliard;Belfort;0900424X;0900424X;90010
ESTA Belfort;Belfort;0900362E;0900362E;90010
Pairs 1 Panthéon Sorbonne  - KU Leuven – Université de Padou;Belgique;0751717J;0751717J;75056
Université de Bordeaux;Bergerac;0333298F;0333298F;24037
UFR-ST FRANCHE-COMTE;BESANCON ;0251215K;0251900E;25056
Université de Franche-comté;Besancon;0251215K;0251215K;25056
Lycée Jules HAAG;Besançon;0250011B;0250011B;25056
UPFR des sports;Besançon;0251215K;0251436A;25056
U-Sport (Université de Franche-Comté);Besançon;0251215K;0251436A;25056
IPAG;Besançon;0251215K;0251640X;25056
Université de Franche-comté ;Besançon;0251215K;0251215K;25056
UFR ST;Besançon;0251215K;0251291T;25056
Faculté des Sciences;Besançon;0251215K;0251291T;25056
Lycée Victor Hugo;Besançon;0250007X;0250007X;25056
IUT Besançon-Vesoul;Besançon;0251215K;0701048J;25056
ENSMM;Besançon;0250082D;0250082D;25056
IUT de Besançon-Vesoul;Besançon;0251215K;0701048J;25056
IAE Franche-Comté;Besançon;0251215K;0251290S;25056
Faculté SJEPG;Besançon;0251215K;0251290S;25056
Lycée Louis Blaringhem ;BETHUNE;0620040G;0620040G;62119
ESTIA Bidart;Bidart;0641923T;0641873N;64125
AFT IFTIM;Bischheim ;0672771Y;0672771Y;67043
Lycée saint Exupery;Blagnac;0312686B;0312686B;31069
Insa Centre Val de Loire;Blois;0180974L;0411068N;41018
INSA - Centre Val-de-Loire;Blois;0180974L;0411068N;41018
IUT de Bobigny;Bobigny;0931238R;0932270M;93008
IUT de Bobigny - Université Paris 13;Bobigny;0931238R;0932270M;93008
ENSIATE;Bois-Colombes;0922652H;0922652H;92009
IUT DE BORDEAUX MONTEQUIEU;BORDEAUX;0333298F;0332969Y;33063
Lycée Gustave Eiffel;Bordeaux;0330028B;0330028B;33063
Pôle Universitaire de Gestion Université de Bordeaux;Bordeaux;0333298F;0333298F;33063
IUT de Bordeaux ;BORDEAUX;0333298F;0331494V;33063
Inseec Business School ;Bordeaux ;0754500J;0332818J;33063
Université Bordeaux 4;Bordeaux;0333298F;0333298F;33063
ISVV - Université de Bordeaux;Bordeaux;0333298F;0330190C;33063
EFAP Bordeaux;Bordeaux;0752094U;0333222Y;33063
Université de Bordeaux - IAE;Bordeaux;0333298F;0330166B;33063
IUT Bordeaux Montesquieu (Pôle de Gestion);Bordeaux ;0333298F;0331494V;33063
IUP BAYONNE;BORDEAUX;0640251A;0642043Y;64102
IUT Bordeaux Montesquieu;Bordeaux;0333298F;0332969Y;33063
BEM (devenu Kedge Business School);Bordeaux;0333326L;0330211A;33063
GICFO CCI Bordeaux;Bordeaux;0333342D;0333342D;33063
Université Bordeaux Montesquieu ;Bordeaux;0333298F;0333298F;33063
IUT Tech de Co Bordeaux;Bordeaux;0333298F;0332969Y;33063
INSEEC;Bordeaux;0754500J;0332818J;33063
KEDGE BUSINESS SCHOOL ;BORDEAUX;0333326L;0330211A;33063
Sciences Po Bordeaux;Bordeaux ;0330192E;0330192E;33318
Université Montaigne - Bordeaux 3;Bordeaux;0331766R;0331766R;33063
Institut des Sciences de l'Information et de la Communication;Bordeaux;0331766R;;33063
université Bordeaux 1;Bordeaux;0333298F;0333298F;33063
Institut des Entreprises et des Administrations de Bordeaux (IAE);Bordeaux;0333298F;0330166B;33063
Université Bordeaux IV Montesquieu;BORDEAUX;0333298F;0333298F;33063
Montesquieu ;Bordeaux;0333298F;0332969Y;33063
UNIVERSITE BORDEAUX MONTESQUIEU;BORDEAUX;0333298F;0333298F;33063
institut etudes politiques (sciences po);BORDEAUX;0330192E;0330192E;33318
Institut de Maintenance Aéronautique (Université Bordeaux);Bordeaux;0333298F;;33063
UNIVERSITE MONTESQUIEU BORDEAUX IV;BORDEAUX;0333298F;0333298F;33063
Centre de recherche et de développement;Bordeaux;0333298F;;33063
IAE;BORDEAUX;0333298F;0330166B;33063
I.U.T. Bordeaux Montesquieu 4;Bordeaux;0333298F;0332969Y;33063
I.A.E. de Bordeaux, Université Montesquieu;Bordeaux;0333298F;0330166B;33063
UNIVERSITE DE BORDEAUX;BORDEAUX;0333298F;0333298F;33063
Université de Bordeaux;Bordeaux;0333298F;0333298F;33063
Université de Bordeaux 1;Bordeaux;0333298F;0333298F;33063
Université Bordeaux Montaigne;Bordeaux;0331766R;0331766R;33063
Montaigne Montesquieu;Bordeaux;0333298F;0333298F;33063
Université Montesquieu Bordeaux IV;BORDEAUX;0333298F;0333298F;33063
BORDEAUX MONTAIGNE;BORDEAUX;0331766R;0331766R;33063
ENSEIRB MATMECA - INP Bordeaux;Bordeaux;0333232J;0333239S;33522
Arts et Métiers ParisTech;Bordeaux;0753237L;0330201P;33063
IAE BORDEAUX;BORDEAUX;0333298F;0330166B;33063
IAE de Bordeaux;Bordeaux;0333298F;0330166B;33063
Montesqieu;Bordeaux;0333298F;0333298F;33063
Arts et Métiers Bordeaux;Bordeaux;0753237L;0330201P;33063
IUT Michel de Montaigne;Bordeaux;0331766R;0331420P;33063
ENSEIRB-MATMECA;Bordeaux;0333232J;0333239S;33522
Collège Droit, science politique, économie et gestion ;Bordeaux;0333298F;;33063
ECE Bordeaux (BBA INSEEC);Bordeaux;0754500J;0332818J;33063
Lycée Michel Montaigne;Bordeaux (33);0330021U;0330021U;33063
Montesquieu;Bordeaux IV;0333298F;0333298F;33063
Institut de formation méditerranéen;Borgo;7200680B;7200680B;2B042
ESSCA;Boulogne Billancourt;0490076S;0922593U;92012
Lycée de la mer et du littoral ;Bourcefranc-le-Chapus;0171428K;0171428K;17058
Université Claude Bernard Lyon 1;Bourg en Bresse;0691774D;0691774D;01053
INSA CVL ;Bourges;0180974L;0180974L;18033
IUT BOURGES;BOURGES;0450855K;0180584M;18033
IUT de Bourges;Bourges;0450855K;0180584M;18033
IES Sainte-Marie;Bourges;0180561M;0180561M;18033
Institut National des Sciences Appliquées Centre Val de Loire;Bourges;0180974L;0180974L;18033
INSA Centre Val de Loire;BOURGES;0180974L;0180974L;18033
INSA Centre-Val de Loire;Bourges (18);0180974L;0180974L;18033
ISEN;BREST;0590347G;0292125C;29019
ISEN Brest;Brest;0590347G;0292125C;29019
UBO;Brest;0290346U;0290346U;29019
Université de Bretagne Occidentale - Victor Ségalen;Brest;0290346U;0290346U;29019
Université de Bretagne Occidentale;Brest;0290346U;0290346U;29019
